time,prey,predator,prey_noisy,predator_noisy
0.000000,40.000000,9.000000,40.053265,8.991763
0.100100,29.175442,12.235060,28.993652,12.133727
0.200200,18.854853,14.925201,18.986032,14.867610
0.300300,11.154713,16.621325,11.319124,16.709405
0.400400,6.286705,17.389081,5.945663,17.389496
0.500501,3.483506,17.520130,3.255884,17.567401
0.600601,1.935814,17.281890,1.958161,17.374996
0.700701,1.090762,16.849885,1.035483,16.797801
0.800801,0.626650,16.324570,0.623714,16.429649
0.900901,0.368003,15.760174,0.218890,15.812813
1.001001,0.221112,15.185286,0.374831,15.013711
1.101101,0.135939,14.614822,0.271898,14.815227
1.201201,0.085487,14.056472,0.100000,13.986895
1.301301,0.054958,13.514097,0.252001,13.284125
1.401401,0.036094,12.989504,0.117815,12.844298
1.501502,0.024200,12.483390,0.100000,12.341518
1.601602,0.016551,11.995842,0.100000,12.003092
1.701702,0.011539,11.526618,0.100000,11.488567
1.801802,0.008194,11.075291,0.161747,11.028488
1.901902,0.005923,10.641340,0.100000,10.727447
2.002002,0.004354,10.224199,0.100000,10.271424
2.102102,0.003254,9.823280,0.100000,9.867194
2.202202,0.002471,9.437994,0.216172,9.494939
2.302302,0.001905,9.067759,0.100000,9.153370
2.402402,0.001490,8.712006,0.100000,8.419110
2.502503,0.001181,8.370179,0.100000,8.319541
2.602603,0.000950,8.041743,0.100000,7.738808
2.702703,0.000773,7.726179,0.100000,7.731189
2.802803,0.000637,7.422986,0.100000,7.422342
2.902903,0.000532,7.131683,0.100000,7.276957
3.003003,0.000449,6.851804,0.374810,7.016824
3.103103,0.000383,6.582905,0.100000,6.611080
3.203203,0.000330,6.324555,0.100000,6.255031
3.303303,0.000287,6.076341,0.100000,6.143753
3.403403,0.000253,5.837866,0.107926,5.764513
3.503504,0.000224,5.608749,0.197569,5.608556
3.603604,0.000201,5.388623,0.100000,5.525644
3.703704,0.000182,5.177134,0.100000,5.099633
3.803804,0.000166,4.973945,0.100000,5.085893
3.903904,0.000152,4.778730,0.113876,4.872854
4.004004,0.000141,4.591177,0.130062,4.458510
4.104104,0.000131,4.410983,0.100000,4.546304
4.204204,0.000123,4.237862,0.100000,4.334926
4.304304,0.000116,4.071535,0.100000,4.085697
4.404404,0.000111,3.911736,0.100000,3.805812
4.504505,0.000106,3.758208,0.100000,3.638823
4.604605,0.000102,3.610706,0.152428,3.535998
4.704705,0.000099,3.468992,0.100000,3.544385
4.804805,0.000096,3.332841,0.118771,3.200059
4.904905,0.000094,3.202033,0.100000,3.262825
5.005005,0.000093,3.076359,0.100000,2.903820
5.105105,0.000092,2.955618,0.110442,2.927263
5.205205,0.000091,2.839616,0.100000,2.854851
5.305305,0.000091,2.728166,0.100000,3.067911
5.405405,0.000092,2.621090,0.100000,2.429715
5.505506,0.000092,2.518217,0.100000,2.722751
5.605606,0.000093,2.419382,0.100000,2.440202
5.705706,0.000095,2.324426,0.261411,2.381557
5.805806,0.000097,2.233197,0.100000,2.249641
5.905906,0.000099,2.145548,0.169354,2.207342
6.006006,0.000101,2.061339,0.100000,2.039985
6.106106,0.000104,1.980436,0.100000,2.182473
6.206206,0.000108,1.902708,0.100000,1.839282
6.306306,0.000112,1.828030,0.102584,1.985352
6.406406,0.000116,1.756284,0.124439,1.666750
6.506507,0.000121,1.687353,0.138799,1.678981
6.606607,0.000126,1.621128,0.100000,1.472181
6.706707,0.000132,1.557503,0.100000,1.620727
6.806807,0.000139,1.496374,0.150114,1.697171
6.906907,0.000146,1.437645,0.100000,1.426897
7.007007,0.000154,1.381221,0.100000,1.353864
7.107107,0.000163,1.327011,0.100000,1.172138
7.207207,0.000173,1.274930,0.100000,1.243070
7.307307,0.000184,1.224892,0.100000,1.003577
7.407407,0.000196,1.176819,0.100000,1.049976
7.507508,0.000208,1.130632,0.120906,1.162143
7.607608,0.000223,1.086258,0.100000,1.269532
7.707708,0.000238,1.043626,0.100000,1.433960
7.807808,0.000255,1.002667,0.109609,0.921162
7.907908,0.000274,0.963316,0.100000,1.162748
8.008008,0.000294,0.925509,0.100000,0.959378
8.108108,0.000317,0.889187,0.100000,0.868171
8.208208,0.000342,0.854290,0.100000,0.914398
8.308308,0.000369,0.820763,0.100000,0.829366
8.408408,0.000399,0.788552,0.100000,0.803891
8.508509,0.000432,0.757605,0.100000,0.700868
8.608609,0.000468,0.727873,0.100000,0.533608
8.708709,0.000508,0.699308,0.100000,0.484825
8.808809,0.000551,0.671864,0.100000,0.762631
8.908909,0.000600,0.645498,0.100000,0.607051
9.009009,0.000653,0.620167,0.116962,0.537341
9.109109,0.000711,0.595830,0.100000,0.597012
9.209209,0.000775,0.572448,0.100000,0.682902
9.309309,0.000846,0.549985,0.100000,0.575046
9.409409,0.000925,0.528403,0.100000,0.437246
9.509510,0.001011,0.507669,0.100000,0.678059
9.609610,0.001107,0.487748,0.100000,0.707173
9.709710,0.001212,0.468610,0.100000,0.537328
9.809810,0.001329,0.450223,0.100000,0.585512
9.909910,0.001457,0.432559,0.100000,0.605126
10.010010,0.001599,0.415587,0.100000,0.572612
10.110110,0.001757,0.399283,0.228863,0.484610
10.210210,0.001931,0.383618,0.100000,0.466757
10.310310,0.002123,0.368569,0.131041,0.440775
10.410410,0.002336,0.354111,0.100000,0.201638
10.510511,0.002572,0.340221,0.100000,0.437585
10.610611,0.002834,0.326876,0.100000,0.138489
10.710711,0.003123,0.314056,0.100000,0.203648
10.810811,0.003444,0.301740,0.150330,0.482867
10.910911,0.003800,0.289907,0.100000,0.406654
11.011011,0.004194,0.278540,0.100000,0.485211
11.111111,0.004631,0.267619,0.100000,0.229871
11.211211,0.005116,0.257128,0.100000,0.100000
11.311311,0.005654,0.247049,0.100000,0.213641
11.411411,0.006252,0.237367,0.100000,0.251544
11.511512,0.006915,0.228065,0.100000,0.239041
11.611612,0.007651,0.219130,0.100000,0.376653
11.711712,0.008468,0.210546,0.100000,0.160349
11.811812,0.009376,0.202301,0.289368,0.251215
11.911912,0.010385,0.194380,0.100000,0.100000
12.012012,0.011505,0.186771,0.100000,0.249342
12.112112,0.012751,0.179462,0.100000,0.179894
12.212212,0.014135,0.172442,0.100000,0.100000
12.312312,0.015674,0.165698,0.253261,0.132930
12.412412,0.017385,0.159221,0.163363,0.133630
12.512513,0.019287,0.153000,0.100000,0.115462
12.612613,0.021404,0.147025,0.277190,0.393149
12.712713,0.023758,0.141286,0.100000,0.127607
12.812813,0.026376,0.135775,0.100000,0.101886
12.912913,0.029290,0.130482,0.100000,0.100000
13.013013,0.032532,0.125399,0.100000,0.100000
13.113113,0.036141,0.120519,0.100000,0.100000
13.213213,0.040157,0.115833,0.151182,0.100000
13.313313,0.044628,0.111334,0.100000,0.303319
13.413413,0.049606,0.107014,0.100000,0.100000
13.513514,0.055147,0.102868,0.100000,0.281895
13.613614,0.061319,0.098888,0.116121,0.107462
13.713714,0.068191,0.095068,0.214696,0.100241
13.813814,0.075845,0.091403,0.424874,0.100000
13.913914,0.084370,0.087886,0.593715,0.100000
14.014014,0.093866,0.084512,0.166305,0.323335
14.114114,0.104445,0.081275,0.100000,0.100000
14.214214,0.116231,0.078171,0.100000,0.100000
14.314314,0.129362,0.075196,0.176158,0.100000
14.414414,0.143994,0.072343,0.100000,0.100000
14.514515,0.160299,0.069610,0.100000,0.165498
14.614615,0.178470,0.066991,0.100000,0.132725
14.714715,0.198720,0.064483,0.174110,0.100000
14.814815,0.221290,0.062082,0.407624,0.203676
14.914915,0.246446,0.059785,0.273899,0.202929
15.015015,0.274487,0.057589,0.246758,0.100000
15.115115,0.305745,0.055489,0.124712,0.189248
